Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total,CustomerID,Age,Age Group,Gender
5015-1,01-04-2014,Anne Pryor,"1-2/299 Sussex St,Sydney",Sydney,NSW,Corporate,Aanya Zhang,Medium,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Express Air,02-04-2014,156.5,300.97,144.47,3.0,1602.02,10.0,144.41,1513.83,7.18,1533.62,145829,78,65+,Female
5016-1,11-02-2013,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Low,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Regular Air,12-02-2013,2.39,4.26,1.87,18.0,123.54,6.0,3.71,119.83,1.2,121.03,312295,55,55-64,Male
5018-1,29-12-2013,Lena Creighton,"127 Liverpool St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Low,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Express Air,22-12-2013,54.29,90.48,36.19,1.0,1029.5,2.0,30.82,1762.54,19.99,1740.57,844044,77,65+,Female
5019-1,18-11-2013,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Artisan 487 Labels,Office Supplies,Wrap Bag,Regular Air,20-11-2013,2.29,3.69,1.4,34.0,205.6,2.0,6.16,193.54,0.5,199.4,647572,39,35-44,Female
5019-1,13-02-2013,Susan Vittorini,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando CCalored Accent Highlighters,Office Supplies,Small Box,Regular Air,15-02-2013,3.75,7.08,3.33,33.0,725.82,8.0,58.07,667.75,2.35,694.05,857362,54,45-54,Female
5019-1,13-02-2013,Susan Vittorini,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando S750 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,15-02-2013,75.0,120.97,45.97,27.0,725.82,8.0,58.07,657.75,26.3,694.05,849979,43,35-44,Male
5020-1,11-05-2015,Bill Stewart,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Small Box,Express Air,13-05-2015,0.9,2.1,1.2,49.0,35.7,5.0,1.07,34.63,0.7,35.33,339058,45,45-54,Female
5021-1,18-05-2015,Brian DeCherney,"523 King St,Newtown",Sydney,NSW,Corporate,Aanya Zhang,High,TechSavi Access Keyboard,Technology,Medium Box,Regular Air,25-05-2015,10.07,15.98,5.91,24.0,139.2,1.0,5.35,132.97,4.0,139.46,344316,25,25-34,Female
5021-1,23-06-2014,Frank Hawley,"797 Botany Rd,Rosebery",Sydney,NSW,Small Business,Phoebe Gour,Medium,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,23-06-2014,1.59,2.61,1.02,22.0,23.6,7.0,1.51,23.63,0.5,23.46,887609,43,35-44,Male
5021-1,20-10-2013,Cindy Stewart,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Home Office,Leighton Forrest,Critical,Smiths Pushpins,Office Supplies,Small Pack,Regular Air,20-10-2013,0.94,1.88,0.94,24.0,25.8,6.0,0.16,23.63,0.79,26.46,820829,79,65+,Male
5022-1,22-02-2013,Rick Han,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Regular Air,23-02-2013,156.5,300.97,144.47,49.0,723.84,7.0,50.67,673.17,7.18,693.16,621374,52,45-54,Female
5023-1,17-02-2013,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Small Business,Yvette Biti,Low,12 Colored Short Pencils,Furniture,Small Pack,Regular Air,22-02-2013,1.09,2.6,1.51,8.0,122.2,0.0,12.22,109.98,2.4,112.38,826270,28,25-34,Male
5023-1,17-02-2013,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,Medium,12 Colored Short Pencils,Furniture,Large Box,Regular Air,22-02-2013,1.09,2.6,1.51,21.0,122.2,5.0,12.22,109.98,2.4,112.38,734747,36,35-44,Female
5023-1,17-02-2013,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,High,12 Colored Short Pencils,Technology,Small Box,Regular Air,22-02-2013,1.09,2.6,1.51,37.0,122.2,10.0,12.22,109.98,2.4,112.38,889964,42,35-44,Male
5023-1,17-02-2013,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,High,1726 Digital Answering Machine,Office Supplies,Small Box,Express Air,22-02-2013,8.82,20.99,12.17,24.0,122.2,7.0,12.22,109.98,4.81,112.38,889321,79,65+,Male
5023-1,04-06-2014,Frank Merwin,"24 Addison Rd,Marrickville",Sydney,NSW,Corporate,Radhya Staples,Critical,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,05-06-2014,8.82,20.99,12.17,29.0,122.2,7.0,12.22,109.98,4.81,112.38,293914,40,35-44,Male
5024-1,22-05-2015,Thomas Boland,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Corporate,Mihael Khan,Medium,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Express Air,24-05-2015,4.53,7.3,2.77,14.0,285.14,2.0,2.95,265.55,7.72,274.97,763035,61,55-64,Male
5024-1,13-10-2014,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Low,3Max Organizer Strips,Office Supplies,Small Box,Regular Air,15-10-2014,3.4,5.4,2.0,42.0,146.6,1.0,14.58,134.01,7.78,143.72,532586,39,35-44,Male
5024-1,18-02-2013,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Corporate,Phoebe Gour,Medium,Multimedia Mailers,Office Supplies,Small Box,Regular Air,20-02-2013,99.39,162.93,63.54,48.0,5213.76,2.0,469.24,4744.52,19.99,4764.51,531978,76,65+,Female
5024-1,09-12-2013,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,High,Multimedia Mailers,Technology,Small Box,Express Air,09-12-2013,99.39,162.93,63.54,40.0,4099.5,3.0,419.0,4795.52,19.99,4592.51,454823,24,18-24,Female
5024-1,02-09-2014,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Consumer,Tina Carlton,Low,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Express Air,04-09-2014,4.79,11.97,7.18,41.0,242.08,5.0,14.24,230.51,5.81,233.95,543973,66,65+,Female
5024-1,25-02-2014,Bebby Elias,"506 Swan Street,Richmond",Melbourne,VIC,Consumer,Connor Betts,High,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Small Box,Regular Air,26-02-2014,21.56,36.55,14.99,22.0,85.28,10.0,6.82,78.46,13.89,79.44,405996,32,25-34,Female
5024-1,18-02-2013,Sean Wendt,"155 Ramsay St,Haberfield",Sydney,NSW,Corporate,Phoebe Gour,Critical,Multimedia Mailers,Office Supplies,Small Box,Express Air,20-02-2013,99.39,162.93,63.54,47.0,5213.76,9.0,469.24,4744.52,19.99,4764.51,121554,36,35-44,Female
5024-1,18-02-2013,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Consumer,Phoebe Gour,High,Multimedia Mailers,Office Supplies,Small Box,Express Air,20-02-2013,99.39,162.93,63.54,50.0,5213.76,7.0,469.24,4744.52,19.99,4764.51,348172,60,55-64,Female
5024-1,18-02-2015,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Critical,Artisan Binder Labels,Technology,Medium Box,Regular Air,21-02-2015,2.45,3.89,1.44,8.0,66.36,9.0,3.96,62.38,7.01,69.36,728752,30,25-34,Female
5025-1,08-06-2015,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,09-06-2015,1.09,1.68,0.59,1.0,55.44,0.0,2.22,53.22,1.0,54.22,852104,63,55-64,Male
5025-1,20-02-2013,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,22-02-2013,1.09,1.68,0.59,34.0,55.44,10.0,2.22,53.22,1.0,54.22,370103,24,18-24,Female
5025-1,20-02-2013,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,22-02-2013,1.09,1.68,0.59,18.0,55.44,8.0,2.22,53.22,1.0,54.22,989276,30,25-34,Male
5025-1,23-07-2015,Magdelene Morse,"53 Riley Street,Woolloomooloo",Sydney,NSW,Corporate,Tina Carlton,Not Specified,TechSavi Cordless Elite Duo,Office Supplies,Small Box,Regular Air,30-07-2015,60.59,100.98,40.39,14.0,4533.86,10.0,66.8,4343.52,7.18,4371.54,380022,70,65+,Female
5025-1,20-02-2013,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,High,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,Regular Air,22-02-2013,1.09,1.68,0.59,29.0,55.44,3.0,2.22,53.22,1.0,54.22,288713,61,55-64,Male
5025-1,20-02-2013,Giulietta Dortch,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Express Air,22-02-2013,1.09,1.68,0.59,39.0,55.44,7.0,2.22,53.22,1.0,54.22,119552,58,55-64,Male
5025-1,17-08-2013,Valerie Dominguez,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,High,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,17-08-2013,8.82,20.99,12.17,16.0,49.36,2.0,3.96,48.66,4.81,44.56,399448,79,65+,Female
5025-1,03-10-2013,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,04-10-2013,4.59,7.28,2.69,19.0,533.72,4.0,36.53,428.51,11.15,330.99,174270,63,55-64,Female
5025-1,12-09-2014,Gary Hansen,"273 George Street,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Low,UGen Ultra Professional Cordless Optical Suite,Technology,Jumbo Drum,Delivery Truck,19-09-2014,156.5,300.97,144.47,4.0,4759.68,6.0,39.3,4733.52,7.18,4740.51,461247,64,55-64,Male
5025-1,30-07-2014,Denny Joy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Not Specified,Smiths General Use 3-Ring Binders,Technology,Small Box,Regular Air,01-08-2014,1.18,1.88,0.7,39.0,35.7,9.0,3.51,34.53,1.49,35.33,814989,62,55-64,Female
5026-1,21-05-2013,Kelly Lampkin,"310 Wattle St,Ultimo",Sydney,NSW,Corporate,Aanya Zhang,Medium,Binder Clips by OIC,Technology,Small Pack,Regular Air,23-05-2013,0.93,1.48,0.55,16.0,25.06,0.0,2.56,22.6,0.7,24.29,360639,69,65+,Male
5026-1,31-05-2013,Raymond Fair,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,High,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,02-06-2013,1.59,2.61,1.02,41.0,23.29,5.0,1.61,22.29,0.5,22.69,371265,19,18-24,Female
5027-1,29-07-2013,Nick Zandusky,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Low,Artisan Binder Labels,Technology,Small Box,Regular Air,30-07-2013,2.45,3.89,1.44,29.0,542.12,4.0,41.26,425.7,7.01,430.59,114718,68,65+,Female
5027-1,13-01-2014,Ashley Jarboe,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,High,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,18-01-2014,1.59,2.61,1.02,45.0,127.29,6.0,12.72,122.76,0.5,123.17,543745,32,25-34,Female
5027-1,25-10-2013,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,Medium,Apex Straight Scissors,Technology,Large Box,Regular Air,27-10-2013,5.19,12.98,7.79,10.0,530.6,1.0,43.56,514.48,3.14,523.02,497275,61,55-64,Female
5027-1,13-10-2013,Sylvia Foulston,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,High,Emerson Stylus 1520 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,13-10-2013,75.0,120.97,45.97,31.0,929.96,6.0,76.8,825.36,26.3,744.63,494331,55,55-64,Female
5027-1,19-01-2016,Tamara Willingham,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,TechSavi Access Keyboard,Office Supplies,Small Pack,Regular Air,19-01-2016,10.07,15.98,5.91,4.0,799.42,2.0,59.92,770.46,4.0,784.64,214370,39,35-44,Male
5027-1,22-07-2013,Edward Becker,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Pack,Regular Air,26-07-2013,156.5,300.97,144.47,9.0,5799.5,7.0,264.99,5579.53,7.18,5550.43,552993,19,18-24,Male
5027-1,22-02-2013,Bill Donatelli,"359 Crown Street,Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,Low,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Small Box,Regular Air,28-02-2013,21.56,35.94,14.38,11.0,723.84,1.0,50.67,673.17,6.66,693.16,592087,65,65+,Male
5028-1,19-06-2015,Fredhen Memon,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Technology,Small Box,Regular Air,21-06-2015,2.98,5.84,2.86,7.0,34.46,1.0,2.24,30.66,0.83,34.43,504773,70,65+,Male
5028-1,09-10-2013,Frank Merwin,"260 Marrickville Rd,Marrickville",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Artisan 474 Labels,Furniture,Large Box,Regular Air,11-10-2013,1.84,2.88,1.04,17.0,26.62,0.0,0.17,26.53,0.99,26.46,155228,31,25-34,Female
5029-1,23-02-2013,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Home Office,Natasha Song,Medium,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Pack,Regular Air,23-02-2013,5.33,8.6,3.27,22.0,412.8,7.0,0.0,412.8,6.19,418.99,556622,49,45-54,Male
5029-1,02-06-2014,Arthur Gainer,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,High,Artisan 479 Labels,Technology,Medium Box,Regular Air,04-06-2014,1.59,2.61,1.02,7.0,209.9,3.0,0.0,209.9,0.5,214.77,981951,40,35-44,Male
5029-1,23-02-2013,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Corporate,Natasha Song,High,Artisan Printable Repositionable Plastic Tabs,Technology,Jumbo Drum,Delivery Truck,23-02-2013,5.33,8.6,3.27,13.0,412.8,4.0,0.0,412.8,6.19,418.99,973967,61,55-64,Male
5029-1,12-11-2015,Michael Oakman,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Not Specified,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Regular Air,14-11-2015,54.29,90.48,36.19,40.0,4564.22,10.0,377.64,4113.59,19.99,4193.93,908641,19,18-24,Female
5029-1,20-05-2013,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Low,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,22-05-2013,5.33,8.6,3.27,19.0,412.8,10.0,0.0,412.8,6.19,418.99,927941,32,25-34,Female
5032-1,18-11-2013,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Critical,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Small Box,Regular Air,20-11-2013,16.85,27.18,10.33,32.0,632.36,6.0,68.76,663.38,8.23,690.33,898229,33,25-34,Male
5032-1,16-12-2013,Henry Goldwyn,"541 Church St,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,19-12-2013,1.84,2.88,1.04,22.0,127.92,1.0,10.16,122.66,0.99,123.06,269205,46,45-54,Male
5033-1,25-02-2013,Katherine Ducich,"61A Bay Road,Wollstonecraft",Sydney,NSW,Small Business,Samantha Chairs,High,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,Regular Air,27-02-2013,54.29,90.48,36.19,42.0,271.44,5.0,8.14,263.3,19.99,283.29,373986,56,55-64,Male
5034-1,05-06-2013,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,05-06-2013,1.84,2.88,1.04,32.0,201.9,5.0,8.0,193.54,0.99,199.04,808158,35,35-44,Female
5034-1,10-08-2015,Nora Price,"7 Khartoum Rd,Macquarie Park",Sydney,NSW,Small Business,Preston Senome,Medium,Ames Color-File Green Diamond Border X-ray Mailers,Technology,Small Box,Express Air,13-08-2015,52.07,83.98,31.91,22.0,2752.32,7.0,188.46,2668.3,5.01,2692.15,567483,25,25-34,Female
5034-1,23-09-2014,Grant Thornton,"98 Holdsworth Street,Woollahra",Sydney,NSW,Small Business,Natasha Song,Critical,Artisan 474 Labels,Technology,Small Box,Regular Air,25-09-2014,1.84,2.88,1.04,45.0,68.96,8.0,0.6,68.96,0.99,73.46,344278,64,55-64,Female
5034-1,09-05-2013,Thea Hudgings,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Medium,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,11-05-2013,3.32,5.18,1.86,37.0,91.06,1.0,7.3,88.96,2.04,80.44,288225,33,25-34,Female
5034-1,13-05-2013,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,High,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,15-05-2013,3.32,5.18,1.86,35.0,76.0,3.0,6.8,59.66,2.04,70.46,994159,21,18-24,Male
5034-1,20-02-2013,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,High,Apex Straight Scissors,Office Supplies,Wrap Bag,Regular Air,22-02-2013,5.19,12.98,7.79,16.0,225.32,10.0,2.24,221.2,3.14,233.76,105740,56,55-64,Male
5035-1,30-04-2013,Pamela Stobb,"273 George Street,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Low,HFX LaserJet 3310 Copier,Technology,Small Box,Regular Air,02-05-2013,377.99,599.99,222.0,35.0,2065.8,5.0,54.07,2759.75,24.49,2761.25,153367,34,25-34,Male
5036-1,07-03-2013,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Office Supplies,Small Box,Express Air,10-03-2013,0.71,1.14,0.43,14.0,57.0,2.0,3.42,53.58,0.7,54.28,495307,67,65+,Male
5036-1,07-03-2013,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Furniture,Large Box,Express Air,10-03-2013,0.71,1.14,0.43,14.0,57.0,0.0,3.42,53.58,0.7,54.28,844763,22,18-24,Male
5037-1,11-03-2013,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Consumer,Stevie Bacata,High,Apex Elite Stainless Steel Scissors,Furniture,Small Pack,Regular Air,13-03-2013,3.42,8.34,4.92,32.0,133.44,8.0,4.0,129.44,2.64,132.08,370775,78,65+,Female
5037-1,29-06-2013,Adam Bellavance,"106 Ebley Street,Bondi Junction",Sydney,NSW,Home Office,Leighton Forrest,Not Specified,Apex Elite Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,01-07-2013,3.42,8.34,4.92,11.0,133.44,7.0,4.0,129.44,2.64,132.08,341433,38,35-44,Male
5037-1,04-07-2013,Sara Luxemburg,"103 Bins Street,Nindsor",Sydney,NSW,Home Office,Charlie Bui,Critical,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Regular Air,05-07-2013,4.79,11.97,7.18,10.0,245.7,10.0,27.26,222.1,5.81,243.29,843967,36,35-44,Male
5037-1,11-03-2013,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Small Business,Stevie Bacata,High,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Express Air,13-03-2013,2.5,5.68,3.18,50.0,133.44,9.0,4.0,129.44,3.6,132.08,501414,51,45-54,Female
5038-1,16-03-2013,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,Smiths Standard Envelopes,Technology,Small Box,Regular Air,20-03-2013,3.52,5.68,2.16,34.0,139.24,2.0,9.68,128.54,1.39,129.4,116445,24,18-24,Female
5039-1,15-03-2013,Michael Grace,"402 Argyle St,Moss Vale",Sydney,NSW,Small Business,Natasha Song,Low,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Express Air,16-03-2013,4.59,7.28,2.69,37.0,160.16,4.0,1.6,158.56,11.15,169.71,174313,61,55-64,Female
5039-1,31-05-2013,Rick Duston,"144 Biutee Rd,Marrickville",Sydney,NSW,Consumer,Charlie Bui,High,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,31-05-2013,1.84,2.88,1.04,42.0,130.66,0.0,10.56,121.02,0.99,122.85,209176,54,45-54,Male
5039-1,07-08-2014,John Lucas,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,"Alto Parchment Paper, Assorted Colors",Furniture,Large Box,Regular Air,09-08-2014,4.59,7.28,2.69,44.0,186.52,8.0,1.68,168.06,11.15,169.71,825756,43,35-44,Female
5040-1,16-03-2013,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Large Box,Regular Air,20-03-2013,1.3,2.88,1.58,46.0,138.24,7.0,9.68,128.56,1.01,129.57,316030,35,35-44,Female
5040-1,16-03-2013,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Box,Express Air,20-03-2013,1.3,2.88,1.58,8.0,138.24,5.0,9.68,128.56,1.01,129.57,633027,50,45-54,Male
5040-1,16-03-2013,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,"Steady Colorific Colored Pencils, 12/Box",Office Supplies,Small Box,Regular Air,20-03-2013,1.3,2.88,1.58,22.0,138.24,2.0,9.68,128.56,1.01,129.57,374783,55,55-64,Female
5040-1,16-03-2013,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Pack,Express Air,20-03-2013,1.3,2.88,1.58,32.0,138.24,8.0,9.68,128.56,1.01,129.57,774742,22,18-24,Female
5041-1,20-10-2015,Eva Jacobs,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Small Business,Nicholas Fernandes,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Small Box,Regular Air,24-10-2015,2.98,5.84,2.86,48.0,7.2,8.0,0.63,7.64,0.83,10.71,891083,50,45-54,Male
